球団,選手名,4番出場回数,本塁打,OBP,SLG,OPS,打点,長打型スコア,総合型スコア,4番タイプ,試合,得点,1試合平均得点
DeNA,牧 秀悟,143,29,0.337,0.53,0.867,103,0.781,0.341,長打型,143,520,3.6363636363636362
オリックス,森 友哉,71,18,0.385,0.508,0.893,64,0.136,0.839,総合型,143,508,3.5524475524475525
ソフトバンク,柳田 悠岐,74,22,0.378,0.484,0.861,85,0.168,0.544,総合型,143,536,3.7482517482517483
ヤクルト,村上 宗隆,139,31,0.375,0.5,0.875,84,0.764,0.634,長打型,143,534,3.734265734265734
ロッテ,ポランコ,88,26,0.312,0.45,0.762,75,0.006,-0.656,長打型,143,505,3.5314685314685317
中日,石川 昂弥,85,13,0.282,0.394,0.676,45,-1.156,-1.53,長打型,143,390,2.727272727272727
巨人,岡本 和真,140,41,0.374,0.584,0.958,93,1.89,1.297,長打型,143,523,3.6573426573426575
広島,マクブルーム,50,6,0.305,0.354,0.659,31,-1.764,-1.529,総合型,143,493,3.4475524475524475
楽天,浅村 栄斗,119,26,0.368,0.462,0.829,78,0.21,0.226,総合型,143,513,3.5874125874125875
西武,マキノン,47,15,0.327,0.401,0.728,50,-0.9,-0.84,総合型,143,435,3.041958041958042
阪神,大山 悠輔,143,19,0.403,0.456,0.859,78,-0.133,0.674,総合型,143,555,3.8811188811188813
